epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0528,1.56981,3.31003,1.05837,0.21333,0.8366,0.29848,0.17506,1.07713,3.25891,0.85322,0.00022,0.00022,0.00022
2,76.0801,1.5001,1.88867,0.92364,0.80482,0.75033,0.81389,0.36573,1.14329,2.45841,0.85492,0.000457723,0.000457723,0.000457723
3,106.479,1.3721,1.26927,0.90549,0.90833,0.90666,0.96201,0.60013,1.15638,1.28156,0.85623,0.00069307,0.00069307,0.00069307
4,137.834,1.47272,0.9785,0.89952,0.97269,0.97781,0.99238,0.62669,1.15152,0.82233,0.87078,0.000926041,0.000926041,0.000926041
5,167.032,1.50335,0.93056,0.90852,0.97657,0.98061,0.99186,0.6746,1.19694,0.8965,0.8857,0.00115664,0.00115664,0.00115664
6,197.438,1.44764,0.9297,0.90772,0.9742,0.96863,0.99063,0.69579,1.10301,0.8994,0.87907,0.00138485,0.00138485,0.00138485
7,226.653,1.28435,0.85596,0.89986,0.99468,0.97818,0.99385,0.73349,0.98824,0.71187,0.87609,0.0016107,0.0016107,0.0016107
8,255.217,1.20973,0.763,0.90031,0.99336,0.97846,0.99374,0.73098,0.99713,0.72066,0.87685,0.00183416,0.00183416,0.00183416
9,284.337,1.27618,0.79221,0.90217,0.99536,0.98039,0.99332,0.70565,1.04872,0.70706,0.87515,0.0019208,0.0019208,0.0019208
10,312.824,1.24445,0.73392,0.88939,0.98981,0.95163,0.99038,0.71963,1.0283,0.69351,0.87051,0.0019109,0.0019109,0.0019109
11,343.287,1.26886,0.77053,0.88521,0.97919,0.97908,0.99393,0.69775,1.08553,0.67128,0.87636,0.001901,0.001901,0.001901
12,370.489,1.17643,0.73846,0.88794,0.98737,0.98431,0.99435,0.7068,1.03081,0.64516,0.86805,0.0018911,0.0018911,0.0018911
13,398.755,1.11315,0.79233,0.87798,0.98167,0.98301,0.99324,0.75591,0.95079,0.60691,0.85647,0.0018812,0.0018812,0.0018812
14,426.925,1.21628,0.70001,0.8958,0.99213,0.9893,0.99472,0.75653,0.91816,0.59905,0.85401,0.0018713,0.0018713,0.0018713
15,457.266,1.2596,0.69055,0.8841,0.97968,0.99216,0.99322,0.73244,0.99817,0.61988,0.86805,0.0018614,0.0018614,0.0018614
16,484.664,1.15951,0.70364,0.89596,0.99476,0.99201,0.99456,0.73105,0.99421,0.59246,0.86392,0.0018515,0.0018515,0.0018515
17,513.471,1.23675,0.74438,0.89555,0.99351,0.98301,0.99483,0.77335,0.88267,0.55586,0.8507,0.0018416,0.0018416,0.0018416
18,544.594,1.19694,0.70302,0.88016,0.99343,0.98848,0.99479,0.73553,1.00594,0.60585,0.86315,0.0018317,0.0018317,0.0018317
19,574.404,1.19647,0.68827,0.88735,0.98751,0.97778,0.99333,0.74689,0.96952,0.61731,0.86348,0.0018218,0.0018218,0.0018218
20,604.876,1.15772,0.64523,0.87759,0.99277,0.97778,0.99358,0.76341,0.91213,0.58037,0.85888,0.0018119,0.0018119,0.0018119
21,634.175,1.22469,0.65244,0.89207,0.99737,0.99116,0.99459,0.76116,0.90231,0.56424,0.86048,0.001802,0.001802,0.001802
22,661.92,1.15201,0.63058,0.88069,0.99792,0.99216,0.99474,0.73815,0.95642,0.56108,0.8628,0.0017921,0.0017921,0.0017921
23,690.55,1.13294,0.63658,0.87128,0.99867,0.97976,0.99479,0.77835,0.86246,0.54174,0.85384,0.0017822,0.0017822,0.0017822
24,719.257,1.07782,0.68549,0.86923,0.99382,0.98431,0.99478,0.76443,0.8851,0.53201,0.85299,0.0017723,0.0017723,0.0017723
25,747.338,1.0991,0.57951,0.86463,0.99413,0.98954,0.99489,0.76123,0.913,0.51384,0.8536,0.0017624,0.0017624,0.0017624
26,775.245,1.09004,0.60087,0.86893,0.99604,0.98679,0.99478,0.76897,0.89104,0.51116,0.85253,0.0017525,0.0017525,0.0017525
27,803.365,1.12539,0.59796,0.87659,0.99473,0.98774,0.99484,0.77078,0.85576,0.52579,0.84367,0.0017426,0.0017426,0.0017426
28,831.499,1.08719,0.6111,0.86867,0.99081,0.98629,0.99477,0.78605,0.83338,0.53241,0.84014,0.0017327,0.0017327,0.0017327
29,859.182,1.09797,0.60664,0.86545,0.99741,0.98824,0.99493,0.77351,0.9021,0.50046,0.8478,0.0017228,0.0017228,0.0017228
30,887.112,1.07555,0.64556,0.87787,0.99503,0.99085,0.99497,0.78044,0.85247,0.48631,0.84386,0.0017129,0.0017129,0.0017129
31,915.572,1.10204,0.61309,0.86699,0.99868,0.98807,0.99488,0.77064,0.89832,0.51587,0.85189,0.001703,0.001703,0.001703
32,943.373,1.09532,0.60584,0.86335,0.99438,0.99216,0.99493,0.77884,0.87005,0.51082,0.84806,0.0016931,0.0016931,0.0016931
33,971.458,1.1307,0.58845,0.87845,0.99474,0.98915,0.99489,0.78883,0.84693,0.48834,0.84167,0.0016832,0.0016832,0.0016832
34,999.689,1.05588,0.63009,0.88615,0.99868,0.9868,0.99491,0.78066,0.85773,0.48165,0.84286,0.0016733,0.0016733,0.0016733
35,1028.24,1.08611,0.58197,0.86947,0.99689,0.98954,0.99488,0.78131,0.83943,0.47496,0.8491,0.0016634,0.0016634,0.0016634
36,1056.93,1.04698,0.54515,0.85027,0.99475,0.99141,0.99492,0.79342,0.81466,0.47742,0.84527,0.0016535,0.0016535,0.0016535
37,1084.94,1.07664,0.56757,0.86401,0.99605,0.98871,0.99489,0.77563,0.86049,0.50094,0.84354,0.0016436,0.0016436,0.0016436
38,1114.1,1.06995,0.55892,0.86071,0.99956,0.99346,0.995,0.78262,0.84202,0.49793,0.84339,0.0016337,0.0016337,0.0016337
39,1141.68,1.02219,0.55717,0.86348,0.99827,0.99346,0.995,0.77973,0.84287,0.48043,0.84515,0.0016238,0.0016238,0.0016238
40,1168.56,0.98864,0.53158,0.86716,0.99954,0.99346,0.995,0.7859,0.83114,0.47153,0.84533,0.0016139,0.0016139,0.0016139
41,1197.01,1.07555,0.53258,0.86795,0.99812,0.99346,0.99499,0.78716,0.81615,0.47598,0.83864,0.001604,0.001604,0.001604
42,1226.57,1.10679,0.55946,0.85699,0.99887,0.99346,0.995,0.78509,0.82213,0.47421,0.83712,0.0015941,0.0015941,0.0015941
43,1255.34,1.05267,0.55187,0.85833,0.99839,0.99216,0.99499,0.76818,0.89987,0.48788,0.84291,0.0015842,0.0015842,0.0015842
44,1284.22,1.09809,0.54392,0.86404,0.99869,0.99341,0.99499,0.78286,0.8372,0.47255,0.83955,0.0015743,0.0015743,0.0015743
45,1311.9,1.03735,0.54524,0.86577,0.99589,0.99346,0.99497,0.76932,0.86734,0.48405,0.84621,0.0015644,0.0015644,0.0015644
46,1339.76,1.06665,0.56994,0.86015,0.99761,0.99346,0.99499,0.78531,0.81239,0.47153,0.84032,0.0015545,0.0015545,0.0015545
47,1367.49,1.06152,0.55383,0.87722,0.99969,0.99346,0.995,0.78214,0.83535,0.4739,0.83715,0.0015446,0.0015446,0.0015446
48,1397.73,1.07098,0.53238,0.8535,0.99984,0.99477,0.995,0.76966,0.86984,0.47504,0.84004,0.0015347,0.0015347,0.0015347
49,1426.34,1.04654,0.54609,0.86999,0.99974,0.99477,0.995,0.79512,0.79345,0.45508,0.83617,0.0015248,0.0015248,0.0015248
50,1456.41,1.10401,0.54209,0.86485,0.9986,0.99477,0.99499,0.79352,0.79437,0.46645,0.83498,0.0015149,0.0015149,0.0015149
51,1484.24,1.01297,0.54548,0.86301,0.99801,0.99085,0.99497,0.78125,0.83409,0.46746,0.8403,0.001505,0.001505,0.001505
52,1512.89,1.01336,0.53432,0.8614,1,0.99296,0.995,0.77999,0.83441,0.46359,0.84335,0.0014951,0.0014951,0.0014951
53,1541.56,1.06794,0.52826,0.86304,1,0.99458,0.995,0.78477,0.83013,0.4579,0.84272,0.0014852,0.0014852,0.0014852
54,1569.2,1.01071,0.50692,0.86295,1,0.99471,0.995,0.78668,0.83242,0.45712,0.84134,0.0014753,0.0014753,0.0014753
55,1596.25,0.96341,0.51112,0.85792,0.99955,0.99477,0.995,0.79431,0.80209,0.43871,0.83742,0.0014654,0.0014654,0.0014654
56,1624.59,0.97544,0.49492,0.85504,1,0.99583,0.995,0.79335,0.79725,0.44452,0.83586,0.0014555,0.0014555,0.0014555
57,1652.59,0.97566,0.51385,0.85354,1,0.99477,0.995,0.78965,0.80648,0.44759,0.83617,0.0014456,0.0014456,0.0014456
58,1682.38,0.97917,0.49639,0.84224,0.99919,0.99477,0.995,0.79227,0.79839,0.44087,0.83674,0.0014357,0.0014357,0.0014357
59,1716.01,0.9915,0.49932,0.84704,0.99866,0.99346,0.99487,0.78714,0.80669,0.4532,0.83742,0.0014258,0.0014258,0.0014258
60,1749.66,0.96187,0.49096,0.84747,0.99826,0.99346,0.99486,0.79567,0.7895,0.44447,0.8361,0.0014159,0.0014159,0.0014159
61,1778.38,1.0059,0.50184,0.86242,0.99867,0.99346,0.99482,0.79237,0.79291,0.44257,0.83818,0.001406,0.001406,0.001406
62,1807.83,0.99963,0.50616,0.8572,0.99839,0.99346,0.99492,0.78675,0.82012,0.4384,0.83957,0.0013961,0.0013961,0.0013961
63,1836.15,0.98183,0.49957,0.85579,0.99711,0.99346,0.99497,0.79512,0.80104,0.42822,0.83881,0.0013862,0.0013862,0.0013862
64,1864.27,0.99069,0.49484,0.85429,1,0.99453,0.995,0.79242,0.80512,0.43357,0.83857,0.0013763,0.0013763,0.0013763
65,1892.34,0.98126,0.49581,0.86129,0.99869,0.99308,0.99499,0.79522,0.81749,0.42654,0.83903,0.0013664,0.0013664,0.0013664
66,1921.85,0.98173,0.48657,0.84968,0.99987,0.99608,0.995,0.79459,0.79668,0.42412,0.83791,0.0013565,0.0013565,0.0013565
67,1950.69,1.01842,0.4986,0.85327,0.99956,0.99477,0.995,0.7989,0.77547,0.42778,0.83726,0.0013466,0.0013466,0.0013466
68,1978.62,1.02502,0.50736,0.85867,0.99914,0.99216,0.995,0.77808,0.8407,0.43431,0.84058,0.0013367,0.0013367,0.0013367
69,2007.21,1.066,0.49734,0.85315,1,0.99181,0.995,0.78998,0.80919,0.42771,0.83692,0.0013268,0.0013268,0.0013268
70,2035.26,0.95524,0.479,0.85562,0.99856,0.99216,0.995,0.7985,0.78572,0.42515,0.83534,0.0013169,0.0013169,0.0013169
71,2063.13,1.02816,0.49394,0.85102,0.99787,0.99085,0.99497,0.78596,0.81156,0.41988,0.83625,0.001307,0.001307,0.001307
